id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
300,Apartamento,Venda,São Luís/MA,Jaracaty,0,0,0,340000,Pereira Feitosa
301,Apartamento,Venda,São Luís/MA,Cohama,2,1,2,230000,Pereira Feitosa
302,Casa,Venda,São Luís/MA,Centro,5,2,0,250000,Pereira Feitosa
303,Casa,Venda,São Luís/MA,Residencial Pinheiros,5,1,0,300000,Pereira Feitosa
304,Casa,Venda,São Luís/MA,Olho D Água,3,1,3,1000000,Pereira Feitosa
305,Casa,Venda,São Luís/MA,Ipase,3,1,3,400000,Pereira Feitosa
306,Casa,Venda,São Luís/MA,Recanto Vinhais,3,1,4,450000,Pereira Feitosa
307,Casa,Venda,São Luís/MA,Jardim de Fátima,4,2,0,1300000,Pereira Feitosa
308,Casa,Venda,São Luís/MA,Cohama,3,1,0,350000,Pereira Feitosa
309,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,1,550000,Pereira Feitosa
310,Casa,Venda,São Luís/MA,Cidade Operária,4,0,2,180000,Pereira Feitosa
311,Casa,Venda,São Luís/MA,Alto do Calhau,2,1,2,450000,Pereira Feitosa
312,Casa,Venda,São Luís/MA,Vila Vicente Fialho,2,1,0,330000,Pereira Feitosa
313,Casa,Venda,São Luís/MA,Cohaserma,3,1,2,450000,Pereira Feitosa
314,Casa,Venda,São Luís/MA,Cohajap,4,1,8,620000,Pereira Feitosa
315,Casa,Venda,São Luís/MA,Forquilha,5,3,12,950000,Pereira Feitosa
316,Apartamento,Venda,São Luís/MA,COHAB Turu,2,0,1,270000,Pereira Feitosa
317,Casa,Venda,São Luís/MA,Cohatrac IV,2,1,1,300000,Pereira Feitosa
318,Casa,Venda,São Luís/MA,Turu,3,3,2,670000,Pereira Feitosa
319,Casa,Venda,São Luís/MA,São Francisco,3,2,4,500000,Pereira Feitosa
320,Casa,Venda,São Luís/MA,Turu,2,0,1,190000,Pereira Feitosa
321,Casa,Venda,São Luís/MA,Olho D Água,4,4,0,1300000,Pereira Feitosa
322,Apartamento,Venda,São Luís/MA,Jardim Renascença,1,1,1,200000,Pereira Feitosa
323,Apartamento,Venda,São Luís/MA,Quintas do Calhau,3,2,3,1800000,Pereira Feitosa
324,Casa,Venda,São Luís/MA,Coheb Do Sacavém,3,1,0,230000,Pereira Feitosa
325,Casa,Venda,São Luís/MA,Novo Angelim,2,0,2,190000,Pereira Feitosa
326,Casa,Venda,São Luís/MA,Chácara Brasil,3,1,0,500000,Pereira Feitosa
327,Casa,Venda,São Luís/MA,Residencial Araras,3,1,2,450000,Pereira Feitosa
328,Casa,Venda,São Luís/MA,Jardim Coelho Neto,3,2,4,750000,Pereira Feitosa
329,Casa,Venda,São Luís/MA,Vinhais,2,2,3,450000,Pereira Feitosa
330,Apartamento,Venda,São Luís/MA,Quitandinha,1,1,1,265000,Pereira Feitosa
331,Casa,Venda,São Luís/MA,Recanto dos Vinhais,2,0,3,360000,Pereira Feitosa
332,Casa,Venda,São Luís/MA,Cohafuma,4,1,3,550000,Pereira Feitosa
333,Casa,Venda,São Luís/MA,Turu,4,3,0,780000,Pereira Feitosa
334,Casa,Venda,São Luís/MA,Ponta do Farol,5,0,5,2500000,Pereira Feitosa
335,Apartamento,Venda,São Luís/MA,Cohafuma,1,1,0,390000,Pereira Feitosa
336,Apartamento,Venda,São Luís/MA,Cohafuma,2,0,0,170000,Pereira Feitosa
337,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,1,300000,Pereira Feitosa
338,Casa,Venda,São Luís/MA,COHAB Anil IV,3,1,1,280000,Pereira Feitosa
339,Casa,Venda,São Luís/MA,Centro,4,4,0,240000,Pereira Feitosa
340,Apartamento,Venda,São Luís/MA,Turu,3,1,0,300000,Pereira Feitosa
341,Casa,Venda,São Luís/MA,Recanto Vinhais,3,2,0,600000,Pereira Feitosa
342,Apartamento,Venda,São Luís/MA,Cohafuma,2,1,1,350000,Pereira Feitosa
343,Casa,Venda,São Luís/MA,Renascença,4,2,0,550000,Pereira Feitosa
344,Casa,Venda,São Luís/MA,Centro,3,0,0,300000,Pereira Feitosa
345,Casa,Venda,São Luís/MA,Angelim,3,1,0,380000,Pereira Feitosa
346,Apartamento,Venda,São Luís/MA,Jardim Renascença,1,0,0,300000,Pereira Feitosa
347,Casa,Venda,São Luís/MA,Quintas do Calhau,4,2,0,450000,Pereira Feitosa
348,Casa,Venda,São Luís/MA,Alemanha,2,0,0,200000,Pereira Feitosa
349,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,0,0,0,700000,Pereira Feitosa
350,Casa,Venda,São Luís/MA,Olho D Água,1,0,0,450000,Pereira Feitosa
351,Apartamento,Venda,São Luís/MA,Vila Palmeira,2,1,1,340000,Pereira Feitosa
352,Apartamento,Venda,São Luís/MA,Vila Palmeira,2,1,1,340000,Pereira Feitosa
353,Apartamento,Venda,São Luís/MA,Cohafuma,2,1,0,340000,Pereira Feitosa
354,Apartamento,Venda,São Luís/MA,Cohafuma,4,3,0,700000,Pereira Feitosa
355,Casa,Venda,São Luís/MA,Vinhais,3,2,0,550000,Pereira Feitosa
356,Casa,Venda,São Luís/MA,Turu,3,1,0,430000,Pereira Feitosa
357,Casa,Venda,São Luís/MA,Calhau,6,4,5,1200000,Pereira Feitosa
358,Casa,Venda,São Luís/MA,Parque Shalon,4,3,0,700000,Pereira Feitosa
359,Casa,Venda,São Luís/MA,Olho D Água,4,3,0,480000,Pereira Feitosa
360,Apartamento,Venda,São Luís/MA,Ponta do Farol,2,1,0,450000,Pereira Feitosa
361,Casa,Venda,São Luís/MA,Olho D Água,4,3,3,1500000,Pereira Feitosa
362,Casa,Venda,São Luís/MA,Residencial Vinhais II,4,1,3,450000,Pereira Feitosa
363,Casa,Venda,São Luís/MA,Jardim Coelho Neto,4,1,0,480000,Pereira Feitosa
364,Casa,Venda,São Luís/MA,Turu,7,4,0,750000,Pereira Feitosa
365,Casa,Venda,São Luís/MA,Divinéia,3,1,0,350000,Pereira Feitosa
366,Apartamento,Venda,São Luís/MA,Cohafuma,3,2,0,517000,Pereira Feitosa
367,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,2,2,1200000,Pereira Feitosa
368,Casa,Venda,São Luís/MA,Vinhais,4,1,0,350000,Pereira Feitosa
369,Apartamento,Venda,São Luís/MA,Cohafuma,3,3,0,780000,Pereira Feitosa
370,Casa,Venda,São Luís/MA,Vinhais,4,0,0,400000,Pereira Feitosa
371,Apartamento,Venda,São Luís/MA,Ponta da areia,3,3,0,1000000,Pereira Feitosa
372,Casa,Venda,São Luís/MA,Vinhais,6,4,2,360000,Pereira Feitosa
373,Casa,Venda,São Luís/MA,Jardim Renascença,4,2,3,630000,Pereira Feitosa
374,Casa,Venda,São Luís/MA,Vinhais,3,1,0,430000,Pereira Feitosa
375,Casa,Venda,São Luís/MA,Residencial Esperança,3,2,0,450000,Pereira Feitosa
376,Casa,Venda,São José de Ribamar/MA,Jardim Aracagy,0,0,0,900000,Pereira Feitosa
377,Apartamento,Venda,São Luís/MA,Turu,3,1,1,330000,Pereira Feitosa
378,Casa,Venda,São Luís/MA,Ipem São Cristovão,0,0,0,410000,Pereira Feitosa
379,Casa,Venda,São Luís/MA,Ponta do Farol,3,3,1,800000,Pereira Feitosa
380,Casa,Venda,São Luís/MA,Jardim São Cristovão II,2,1,0,170000,Pereira Feitosa
381,Casa,Venda,São Luís/MA,Quintas do Calhau,4,4,4,980000,Pereira Feitosa
382,Casa,Venda,São Luís/MA,Cidade Operária,4,3,0,1700000,Pereira Feitosa
383,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,2,480000,Pereira Feitosa
384,Casa,Venda,São Luís/MA,Bequimão,3,3,3,320000,Pereira Feitosa
385,Apartamento,Venda,São Luís/MA,Ponta da areia,2,2,2,600000,Pereira Feitosa
386,Casa,Venda,São Luís/MA,Vila Ivar Saldanha,0,0,0,280000,Pereira Feitosa
387,Casa,Venda,São Luís/MA,Jardim São Cristovão,2,1,1,250000,Pereira Feitosa
388,Casa,Venda,São Luís/MA,Centro,5,1,0,650000,Pereira Feitosa
389,Casa,Venda,São Luís/MA,Vila Passos,5,3,0,170000,Pereira Feitosa
390,Apartamento,Venda,São Luís/MA,Ponta da areia,4,3,0,650000,Pereira Feitosa
391,Casa,Venda,São Luís/MA,COHAB Anil III,3,1,0,290000,Pereira Feitosa
392,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,2,0,620000,Pereira Feitosa
393,Casa,Venda,São Luís/MA,Turu,2,1,0,470000,Pereira Feitosa
394,Apartamento,Venda,São Luís/MA,Cohafuma,3,1,0,400000,Pereira Feitosa
