id,tipo,acao,cidade,bairro,dorm,suite,vaga,preco,imobiliaria
69,Apartamento,Venda,São Luís/MA,Ponta do Farol,4,4,3,1200000,Pereira Feitosa
70,Casa,Venda,São Luís/MA,Cidade Operária,5,4,3,900000,Pereira Feitosa
71,Casa,Venda,São José de Ribamar/MA,Renascer,0,0,2,600000,Pereira Feitosa
72,Casa,Venda,São Luís/MA,Olho D Água,5,4,14,1400000,Pereira Feitosa
73,Apartamento,Venda,São Luís/MA,Recanto Vinhais,2,1,0,190000,Pereira Feitosa
74,Apartamento,Venda,São Luís/MA,Quintas do Calhau,0,0,0,130000,Pereira Feitosa
75,Casa,Venda,São José de Ribamar/MA,Alto Do Jaguarema,0,0,2,260000,Pereira Feitosa
76,Apartamento,Venda,São Luís/MA,Quintas do Calhau,1,0,1,140000,Pereira Feitosa
77,Apartamento,Venda,São Luís/MA,Recanto dos Vinhais,2,0,1,150000,Pereira Feitosa
78,Apartamento,Venda,São Luís/MA,Jardim Renascença,2,1,2,600000,Pereira Feitosa
79,Apartamento,Venda,São Luís/MA,Calhau,3,2,2,550000,Pereira Feitosa
80,Apartamento,Venda,São Luís/MA,Jardim São Francisco,1,1,1,390000,Pereira Feitosa
81,Casa,Venda,São Luís/MA,Cohatrac I,4,1,2,350000,Pereira Feitosa
82,Casa,Venda,São José de Ribamar/MA,Araçagy,4,0,0,600000,Pereira Feitosa
83,Casa,Venda,São Luís/MA,Planalto Vinhais II,3,2,3,400000,Pereira Feitosa
84,Casa,Venda,São Luís/MA,Cohafuma,2,1,3,900000,Pereira Feitosa
85,Apartamento,Venda,São Luís/MA,Cohama,1,1,1,140000,Pereira Feitosa
86,Apartamento,Venda,São Luís/MA,Turu,3,1,0,330000,Pereira Feitosa
87,Casa,Venda,São Luís/MA,Cohafuma,4,2,0,460000,Pereira Feitosa
88,Apartamento,Venda,São Luís/MA,Jardim Renascença,3,1,2,400000,Pereira Feitosa
